activity_a,activity_b,capacity_a,capacity_b,count,weighted
IBET Project Work (James),CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,136,2.42857142857143
Dev Club,Computer Team (Senior),<bound method EighthActivity.capacity of <EighthActivity: Dev Club>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Senior)>>,136,1.43157894736842
Spanish Tertulia (Pou) Level 2,Spanish Tertulia Mateo,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia (Pou) Level 2>>,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia Mateo>>,136,2.83333333333333
Future Problem Solving,Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Future Problem Solving>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,136,0.906666666666667
PC (re)Builders,Chess Club,<bound method EighthActivity.capacity of <EighthActivity: PC (re)Builders>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,136,1.7
Design & Tech Tutoring (Seyler),IBET Larson Work Time,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,136,4.53333333333333
Latin: Certamen  (Lister),Latin,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen  (Lister)>>,<bound method EighthActivity.capacity of <EighthActivity: Latin>>,132,4.125
Future Problem Solving,Medical Society,<bound method EighthActivity.capacity of <EighthActivity: Future Problem Solving>>,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,132,0.88
Lab 15 - CS Foundations,Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: Lab 15 - CS Foundations>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,128,2.13333333333333
Computer Team (Intermediate),Debate: Lincoln-Douglas,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Lincoln-Douglas>>,128,1.42222222222222
Quizbowl (It's Academic),Machine Learning Club,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,<bound method EighthActivity.capacity of <EighthActivity: Machine Learning Club>>,128,1.45454545454545
Computer Team (Freshman),Machine Learning Club,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,<bound method EighthActivity.capacity of <EighthActivity: Machine Learning Club>>,128,1.68421052631579
Lab 200 - Computer Systems,Computer Team (Intermediate),<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,128,1.82857142857143
Electronics Club,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Electronics Club>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,128,2.37037037037037
Biology Olympiad,Math Teams (V & JV),<bound method EighthActivity.capacity of <EighthActivity: Biology Olympiad>>,<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,128,0.771084337349398
Medical Society,Debate: Public Forum,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Public Forum>>,128,1.42222222222222
Band,Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,128,1.024
Bioinformatics Society,Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Bioinformatics Society>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,128,1.34736842105263
Chess Club,Medical Society,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,128,1.28
Chess Club,Investment Club,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,<bound method EighthActivity.capacity of <EighthActivity: Investment Club>>,128,1.16363636363636
TWIST,Medical Society,<bound method EighthActivity.capacity of <EighthActivity: TWIST>>,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,128,1.5609756097561
Chemistry Team,Computer Team (Intermediate),<bound method EighthActivity.capacity of <EighthActivity: Chemistry Team>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,128,1.64102564102564
Math Teams (V & JV),Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,128,0.876712328767123
Physics Team,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Physics Team>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,128,1.16363636363636
Chess Club,Machine Learning Club,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,<bound method EighthActivity.capacity of <EighthActivity: Machine Learning Club>>,124,1.37777777777778
Biology Olympiad,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Biology Olympiad>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,124,1.26530612244898
Spanish Tertulia Mateo,Namaste,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia Mateo>>,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,124,1.31914893617021
Design & Tech Tutoring (Seyler),Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,120,1.5
Design & Tech Tutoring (Seyler),Band,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,120,1.14285714285714
Band,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,120,0.975609756097561
Spanish Honor Society,Namaste,<bound method EighthActivity.capacity of <EighthActivity: Spanish Honor Society>>,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,120,1.22448979591837
Spanish Tertulia (Pou) Level 2,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia (Pou) Level 2>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,120,1.66666666666667
Computer Team (Senior),Physics Team,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Senior)>>,<bound method EighthActivity.capacity of <EighthActivity: Physics Team>>,120,0.827586206896552
Orchestra,American Sign Language Club,<bound method EighthActivity.capacity of <EighthActivity: Orchestra>>,<bound method EighthActivity.capacity of <EighthActivity: American Sign Language Club>>,120,1.09090909090909
Debate: Lincoln-Douglas,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Debate: Lincoln-Douglas>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,120,1.71428571428571
Latin: Certamen,Latin Exam,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen>>,<bound method EighthActivity.capacity of <EighthActivity: Latin Exam>>,120,4.28571428571429
Chess Club,Debate: Public Forum,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Public Forum>>,120,1.33333333333333
TJ Media (R),Design & Tech  Tutoring/Makeups (Geiger),<bound method EighthActivity.capacity of <EighthActivity: TJ Media (R)>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech  Tutoring/Makeups (Geiger)>>,120,2.0
Lab 16 - AP Comp Sci,Spanish Tertulia Mateo,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia Mateo>>,120,2.22222222222222
Physics tutoring / makeup Smith,Lab 16 - AP Comp Sci,<bound method EighthActivity.capacity of <EighthActivity: Physics tutoring / makeup Smith>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,120,2.06896551724138
Physics Team,Orchestra,<bound method EighthActivity.capacity of <EighthActivity: Physics Team>>,<bound method EighthActivity.capacity of <EighthActivity: Orchestra>>,120,0.857142857142857
Awesome Association,Lab 16 - AP Comp Sci,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,120,2.0
Latin Exam,Latin,<bound method EighthActivity.capacity of <EighthActivity: Latin Exam>>,<bound method EighthActivity.capacity of <EighthActivity: Latin>>,120,1.2
CS: Lab 211,Bridge Club,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,<bound method EighthActivity.capacity of <EighthActivity: Bridge Club>>,120,2.0
Dev Club,Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Dev Club>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,120,1.5
Bridge Club,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Bridge Club>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,120,1.5
Lab 16 - AP Comp Sci,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,120,1.53846153846154
Lab 200 - Computer Systems,Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,120,1.71428571428571
Lab 16 - AP Comp Sci,Namaste,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,116,1.16
Awesome Association,Investment Club,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Investment Club>>,116,1.28888888888889
MIT Launch,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: MIT Launch>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,116,1.75757575757576
TWIST,WISE (Women in Sci. & Eng),<bound method EighthActivity.capacity of <EighthActivity: TWIST>>,<bound method EighthActivity.capacity of <EighthActivity: WISE (Women in Sci. & Eng)>>,116,1.05454545454545
Physics tutoring / makeup Smith,Namaste,<bound method EighthActivity.capacity of <EighthActivity: Physics tutoring / makeup Smith>>,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,116,1.18367346938776
Spanish Tertulia (Pou) Level 2,Biology Society,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia (Pou) Level 2>>,<bound method EighthActivity.capacity of <EighthActivity: Biology Society>>,116,2.23076923076923
Biology Society,Future Problem Solving,<bound method EighthActivity.capacity of <EighthActivity: Biology Society>>,<bound method EighthActivity.capacity of <EighthActivity: Future Problem Solving>>,116,0.90625
Mock Trial Club,Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: Mock Trial Club>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,112,1.93103448275862
Namaste,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,112,0.949152542372881
Computer Team (Freshman),Debate: Lincoln-Douglas,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Lincoln-Douglas>>,112,1.47368421052632
Lab 200 - Computer Systems,Machine Learning Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Machine Learning Club>>,112,1.86666666666667
TWIST,Namaste,<bound method EighthActivity.capacity of <EighthActivity: TWIST>>,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,112,1.09803921568627
Chess Club,Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,112,1.12
Dev Club,Lab 16 - AP Comp Sci,<bound method EighthActivity.capacity of <EighthActivity: Dev Club>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,112,1.86666666666667
Lab 211 - Open Computer Lab,Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,112,1.43589743589744
Latin: Certamen,Latin,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen>>,<bound method EighthActivity.capacity of <EighthActivity: Latin>>,112,4.0
Dev Club,Machine Learning Club,<bound method EighthActivity.capacity of <EighthActivity: Dev Club>>,<bound method EighthActivity.capacity of <EighthActivity: Machine Learning Club>>,112,1.6
Chemistry Team,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Chemistry Team>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,112,1.47368421052632
Biology Olympiad,Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: Biology Olympiad>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,112,1.4
Chess Club,FBLA-Future Business Leaders of America,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,<bound method EighthActivity.capacity of <EighthActivity: FBLA-Future Business Leaders of America>>,112,1.24444444444444
IBET Project Work (James),Namaste,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,112,1.14285714285714
